"","DateTime","Identifier","Identifier2","PuzzleType","YEAR","LorD","SiteID","GroupSize","agesex","UniqueID2","Disease","PuzzleSequence"
"144"," 2024-03-19 06:19:48","NW5_EVENT2","NW5_EVENT2_A_2024","A","2024","D","NW5",1,"Unk","NW5-U1_2024","N",2
"145"," 2024-03-19 06:19:48","NW5_EVENT2","NW5_EVENT2_W_2024","W","2024","D","NW5",1,"Unk","NW5-U1_2024","N",1
"146"," 2024-03-20 04:52:22","NW5_EVENT3","NW5_EVENT3_A_2024","A","2024","D","NW5",1,"Unk","NW5-U2_2024","N",0
"147"," 2024-03-20 10:00:40","NW5_EVENT4","NW5_EVENT4_A_2024","A","2024","N","NW5",1,"M","NW5-M1_2024","N",0
"148"," 2024-03-21 06:33:32","NW5_EVENT10","NW5_EVENT10_A_2024","A","2024","N","NW5",1,"M","NW5-M1_2024","N",0
"149"," 2024-03-23 03:02:40","NW5_EVENT5","NW5_EVENT5_A_2024","A","2024","D","NW5",1,"SF","NW5-SF1_2024","N",0
"150"," 2024-03-24 07:11:18","NW5_EVENT6","NW5_EVENT6_A_2024","A","2024","L","NW5",1,"F","NW5-F1_2024","N",0
"151"," 2024-03-24 19:57:50","NW5_EVENT7","NW5_EVENT7_A_2024","A","2024","D","NW5",1,"SF","NW5-SF1_2024","N",0
"152"," 2024-03-28 13:05:34","NW5_EVENT8","NW5_EVENT8_A_2024","A","2024","L","NW5",1,"F","NW5-F2_2024","N",2
"153"," 2024-03-28 13:05:46","NW5_EVENT8","NW5_EVENT8_W_2024","W","2024","L","NW5",1,"F","NW5-F2_2024","N",1
"154"," 2024-03-28 13:23:38","NW5_EVENT9","NW5_EVENT9_A_2024","A","2024","L","NW5",1,"F","NW5-F2_2024","N",1
"155"," 2024-03-28 13:23:42","NW5_EVENT9","NW5_EVENT9_W_2024","W","2024","L","NW5",1,"F","NW5-F2_2024","N",2
"156"," 2024-03-04 14:31:36","NW6_EVENT1","NW6_EVENT1_W_2024","W","2024","L","NW6",1,"Unk","NW6-U1_2024","N",0
