Site_ID,Common_ID,Lat,Long,Dist_CityCenter,Dist_CityPerimeter,Dist_River,Dist_RiverValleyRavine,Dist_Parks,Neighbourhood,Dist_Road,Road density,pop_density,AG,ANTH,WATER,GRASS,NAT,NoBldg50,NoBldg100,NoBldg250,NoBldg500,NoBldg1000,NoBldg1500,RoadDist50,RoadDist100,RoadDist250,RoadDist500,RoadDist1000,RoadDist1500,Nat50,Nat100,Nat250,Nat500,Nat1000,Nat1500
SE2,Menonite Church,53.471960000000003,-113.46967,7838.455106000000342,7010.944514640000307,5683.309259720000227,3076.982636300000195,509.906280900000013,Strathcona Industrial Park,18.575513830599998,0.010747,0,0,86.0525007,0,0.650179664,13.29731852,3,15,36,326,1516,3328,92.623600128199996,196.318404261000012,1561.820274919999974,7473.440938,32920.51151,75529.85839,1254.457482549999895,1254.457483,4928.224025,7196.037907,13634.40315,16810.46789
SE3,Mill Woods,53.486109999999996,-113.42676,7544.302938599999834,3970.549657890000162,6272.972525250000217,0,0,Mill Woods Golf Course,37.278001994199997,0.00878,0,0,14.33395841,4.256595841,54.23431613,27.17513488,0,0,8,52,815,3025,66.412898477599995,344.327917393999996,1370.155100960000027,4214.151912,23998.40999,69101.73615,6759.483769110000139,20570.61281,59306.1274,113139.8739,215091.4272,336262.3936
SE4,Feral Cat Industrial,53.494680000000002,-113.47083,5364.772441439999966,5612.071562310000445,3837.234416889999920,584.747596626000018,605.650505864000024,Coronet Industrial,85.009858902900007,0.011329,0,0,99.15185714,0.080898592,0,0.76724561,1,13,47,179,1342,3360,,105.039685054000003,1579.869270830000005,6445.299009,34494.34258,82178.13721,2196.883746940000037,3736.297154,7720.124684,14935.32563,26601.36274,92698.51001
SE5,Plyplow,53.498759999999997,-113.39423,8094.740798400000131,1924.116262510000070,5768.286400789999789,0,2.634718063510000,Plyplow Industrial,27.658556741400002,0.00264,0,19.37301788,62.705509,3.066205925,1.58791101,13.26735622,0,2,29,62,227,674,83.092203549299995,192.048591243999994,496.854784875000007,1974.265357,8061.923227,26901.88246,4316.523396159999720,6733.559543,19236.39343,78443.6645,239300.7233,336294.147
SE6,25 street Industrial,53.514960000000002,-113.38196,7951.939392489999591,224.154201354999998,3995.006759939999938,0.640002501,3.892205882380000,Southeast Industrial,41.811824587700002,0.004941,0,0.158774105,80.20268491,1.523534454,1.532350153,16.58265508,0,0,11,35,153,453,54.692252501399999,209.711742426000001,628.282269677000045,4016.756507,16691.03822,31649.4023,4396.312000769999941,11217.822,31368.01463,36435.32694,75915.35926,211454.6157
SE7,Star Blanket,53.457741550000001,-113.3999562,11152.485021599999527,3681.777261319999980,9828.358150250000108,820.443118248000019,0,Bisset,53.188048523799999,0.015187,4180.779712,0,85.43110827,0,12.88121001,1.687682755,6,22,270,946,4212,9139,,342.875388889000021,3006.944026019999910,12438.65866,47571.19729,104219.9079,4514.826753469999858,11685.7778,15985.37907,15985.37907,61467.99504,300860.632
SE8,Roper,53.496009999999998,-113.43413,6368.022082000000410,3453.880408980000084,5147.590416130000449,0,39.405893905500001,Roper Industrial,115.640014246999996,0.005673,0,0,81.75522781,1.940445174,2.399758629,13.90456787,0,0,6,34,343,741,,,423.506622995999976,2465.43992,14396.43247,46967.89393,6320.646212579999883,12988.93082,28553.2758,65608.58578,126797.4103,240435.6241
SE9,Pollard,53.446860000000001,-113.41268,11768.787850500000786,4515.523734630000035,10206.473086600000897,2262.653085280000141,0,Pollard Meadows,32.795732884899998,0.016001,4338.412846,0,86.96086895,0,11.73246972,1.306660306,4,18,177,837,4175,8239,73.319581900900005,372.630750878000015,2556.747669939999923,11354.34628,51601.44914,108176.196,3933.144413470000018,8487.883988,13746.29285,13746.29285,17517.05068,76720.27177
SW1,Saville,53.502719999999997,-113.53829,5179.850597079999716,9672.788080599999375,798.171891284000026,0,156.770415479999997,University of Alberta Farm,114.640829718000006,0.012521,0,56.29481633,29.62498258,0.435438241,6.491460478,7.153303726,0,4,19,278,1150,3795,,,2460.005364109999846,10107.33967,35747.52204,86532.71899,5911.388289640000039,14863.03563,34403.0004,84619.50881,496607.9307,1287652.883
SW2,Farm,53.497079999999997,-113.54212,5842.213879040000393,9755.068812519999483,1056.085241369999949,535.560875836000037,237.882320488000005,Grandview Heights,58.983721961999997,0.010304,2025.764736,0,90.99682686,0,8.924949232,0.078216067,0,2,19,126,823,3119,,459.185879140999987,1603.857981789999940,6223.950712,30371.1765,79912.73203,7750.224816730000384,13853.79906,16827.0839,17604.78386,249254.3901,1379666.733
SW3,Quesnel,53.509779999999999,-113.56914,6087.576844549999805,7960.469605109999975,273.624916202000009,0,0.736013888,Quesnell Heights,60.536168778300002,0.014958,1794.625438,0,90.49296595,0,0,9.507042716,2,8,88,444,1848,5001,,430.756750324999985,2734.898809249999886,10354.58196,44332.70273,106570.6648,5608.279499829999622,10919.86598,32257.009,253639.0189,832279.1984,1800096.58
SW4,Aspen,53.475810000000003,-113.55267,8235.917744309999762,8915.674323080000249,771.132222918000025,0,0,Aspen Gardens,88.159125015900003,0.00987,2474.688058,0,88.49445732,0,10.2349345,1.27060763,0,7,120,484,1643,4463,,94.154565998500004,1588.590427930000033,6456.800553,29879.42535,84759.16402,7018.201677979999658,21156.31348,104622.0486,389528.1244,1088290.181,1832765.924
SW5,Twin,53.449199999999998,-113.54375,10735.321977199999310,5953.523130909999963,3789.794598880000194,0,0,Twin Brooks,72.238024469400003,0.00827,2929.192959,0.01402095,86.3732998,0.94001624,9.283655269,3.389007499,2,9,98,256,1627,4312,,105.193739582999996,895.390682437000009,3151.46112,24544.03819,63692.77727,6266.673958569999741,21236.35124,112713.6011,463857.2181,1195182.079,1946560.658
SW6,Falconer,53.463709999999999,-113.5878,10623.061968199999683,6726.251580320000357,1155.182834259999936,907.994960225000000,0,Falconer Heights,40.176421933699999,0.013309,0,86.58974342,0,3.236281418,10.17397149,0.650698697,0,7,147,606,2542,5972,62.976693835399999,264.197963854000022,2824.035344110000096,9926.212828,42032.60123,89076.31121,4399.369838810000147,15377.82968,18020.4198,19605.84107,37117.66045,655152.9082
SW7,Zoo,53.511510000000001,-113.55921,5440.793988080000418,8619.080210160000206,386.258572587000003,0,0,Laurier Heights,45.522551845899997,0.012847,2136.141207,0,94.35247525,0,4.802682386,0.844843884,2,7,61,336,1311,3667,30.581915831200000,204.460264171000006,1714.916706870000098,10373.73198,41761.57672,93685.33613,687.292632381999965,2013.283537,17831.63592,180013.0567,1061722.212,2708969.884
SW8,Macgrath,53.453339999999997,-113.55086,10431.013329499999600,6432.869953069999610,3257.296880719999990,0,0,Magrath Heights,99.383705953200007,0.009098,2811.109543,0,86.66116653,0.600230747,6.768466462,5.970136955,0,0,42,204,1639,4373,,18.130287920600001,1150.290390229999957,4245.06474,24334.42127,66136.80951,7766.238206560000435,27403.41682,96912.85239,397427.4999,1084681.395,1756435.271
