,RootFolder,File,RelativePath,DateTime,DeleteFlag,Identifier,Identifier2,PuzzleType,LorD,SiteID,GroupSize,Memb_group,agesex,UniqueID,Disease,PuzzleSequence,X,Identifier2.1,Identifier2.2
76,NE5,NE5A.IMG_0050.MP4,NA, 2024-02-12 07:27:34,FALSE,NE5_EVENT16,NE5_EVENT16_A,A,D,NE5,1,NA,SM,NE5-SM1,N,0,NA,NE5_EVENT16,A
77,NE5,NE5A.IMG_0058.MP4,NA, 2024-02-14 08:42:20,FALSE,NE5_EVENT17,NE5_EVENT17_A,A,L,NE5,1,NA,F,NE5-F1,N,0,NA,NE5_EVENT17,A
78,NE5,NE5A.IMG_0080.MP4,NA, 2024-02-14 14:02:08,FALSE,NE5_EVENT18,NE5_EVENT18_A,A,L,NE5,1,NA,SM,NE5-SM2,shaggy tail,0,NA,NE5_EVENT18,A
79,NE5,NE5A.IMG_0081.MP4,NA, 2024-02-15 10:05:14,FALSE,NE5_EVENT19,NE5_EVENT19_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT19,A
80,NE5,NE5A.IMG_0082.MP4,NA, 2024-02-15 10:05:43,FALSE,NE5_EVENT19,NE5_EVENT19_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT19,A
81,NE5,NE5A.IMG_0083.MP4,NA, 2024-02-15 10:06:16,FALSE,NE5_EVENT19,NE5_EVENT19_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT19,A
82,NE5,NE5A.IMG_0084.MP4,NA, 2024-02-15 10:06:42,FALSE,NE5_EVENT19,NE5_EVENT19_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT19,A
83,NE5,NE5A.IMG_0085.MP4,NA, 2024-02-15 15:17:38,FALSE,NE5_EVENT20,NE5_EVENT20_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT20,A
84,NE5,NE5A.IMG_0086.MP4,NA, 2024-02-15 19:16:22,FALSE,NE5_EVENT21,NE5_EVENT21_A,A,D,NE5,2,NA,M + Unk,NE5-M1 + NE5-U3,shaggy tail,0,NA,NE5_EVENT21,A
85,NE5,NE5A.IMG_0087.MP4,NA, 2024-02-15 19:17:42,FALSE,NE5_EVENT21,NE5_EVENT21_A,A,D,NE5,2,NA,M + Unk,NE5-M1 + NE5-U3,shaggy tail,0,NA,NE5_EVENT21,A
86,NE5,NE5A.IMG_0088.MP4,NA, 2024-02-15 19:18:04,FALSE,NE5_EVENT21,NE5_EVENT21_A,A,D,NE5,2,NA,M + Unk,NE5-M1 + NE5-U3,shaggy tail,0,NA,NE5_EVENT21,A
87,NE5,NE5A.IMG_0089.MP4,NA, 2024-02-15 20:54:30,FALSE,NE5_EVENT22,NE5_EVENT22_A,A,D,NE5,1,NA,SF,NE5-SF3,hunched,0,NA,NE5_EVENT22,A
88,NE5,NE5A.IMG_0090.MP4,NA, 2024-02-17 07:10:32,FALSE,NE5_EVENT23,NE5_EVENT23_A,A,D,NE5,2,NA,M + SF,NE5-M1 + NE5-SF2,"shaggy tail, partial tail",0,NA,NE5_EVENT23,A
89,NE5,NE5A.IMG_0091.MP4,NA, 2024-02-17 19:09:20,FALSE,NE5_EVENT23,NE5_EVENT23_A,A,D,NE5,2,NA,M + SF,NE5-M1 + NE5-SF2,"shaggy tail, partial tail",0,NA,NE5_EVENT23,A
90,NE5,NE5A.second_rou.IMG_0005.MP4,NA, 2024-02-18 17:27:44,FALSE,NE5_EVENT24,NE5_EVENT24_A,A,L,NE5,1,NA,M,NE5-M1,shaggy tail,0,NA,NE5_EVENT24,A
